Provinsi,X(LONG),Y(LAT),2023,2019,2020-2021,2022-2023,Mikro,Kecil,Datang,Berangkat
ACEH,96.9117358,4.224068541,8943786,15660786,4838292,7949182,758781,374731,299304,319669
BALI,115.1320166,-8.369723861,20833503,18064134,9402320,17546608.5,1218552,843755,4954504,4721260
BANTEN,106.109413,-6.456412896,44399501,41807537,32787953.5,41498571.5,1588666,1282946,18852585,18538674
BENGKULU,102.3362913,-3.532763097,2957142,4098593,1645525,2535395.5,278996,95357,302108,311143
YOGYAKARTA,110.4453146,-7.895025939,30437069,20407076,21212741,28090329.5,585901,633604,2032930,2008203
JAKARTA RAYA,106.8344733,-6.200316497,63622596,64617819,34274334,59815318.5,1885759,3015194,1851212,1808394
GORONTALO,122.3761589,0.686882429,1905921,1346611,1018444,1692367,140748,71163,155515,155781
JAMBI,102.7239159,-1.699473234,4783187,7219722,2865864.5,4282085,304462,64016,500730,514140
JAWA BARAT,107.6027432,-6.920219755,156224371,151596961,93098422.5,139878057,8961504,9816832,436446,396773
JAWA TENGAH,110.2009114,-7.259843971,115570236,87420826,140053282,112957975.5,4793312,5860614,1612931,1627742
JAWA TIMUR,112.7330744,-7.720599945,207104573,85483205,143089793,203826355,6210774,4229361,6213566,5522780
KALIMANTAN BARAT,111.1210243,-0.086486054,4711038,8902463,2133000,3995450.5,406139,149680,1288429,1282163
KALIMANTAN SELATAN,115.4396806,-2.993093037,7869846,9509667,4208060.5,6590291.5,321869,359204,1469683,1411054
KALIMANTAN TENGAH,113.4180376,-1.602215486,4023322,5963737,1939298,3353463,231824,95201,587146,583473
KALIMANTAN TIMUR,116.4703439,0.460050815,7903336,10073535,2448846.5,6667526.5,364301,167638,3114834,2633946
KALIMANTAN UTARA,116.2156591,2.888509934,588871,1550070,295254,471725.5,56072,27244,341774,339309
BANGKA BELITUNG,106.5522288,-2.448622166,2382969,2429147,1015043,1980688,136382,109931,977662,942400
RIAU,101.8083075,0.509823,2295496,4279813,790626.5,1903425,276762,64806,1917028,1844117
LAMPUNG,105.022966,-4.917823395,13760697,17022530,8851294,12343200.5,753753,366707,450453,470598
MALUKU,129.8314507,-4.72927458,1061844,2071851,521406.5,837205.5,59507,22451,478161,436001
MALUKU UTARA,127.5401841,0.210447343,1808020,1594047,587708,1659630.5,77294,35113,418745,424829
NUSA TENGGARA BARAT,117.5076501,-8.607530688,12922404,8579404,3255743,8506831.5,702973,1128654,1047328,1081950
NUSA TENGGARA TIMUR,122.1802018,-9.263915584,5064324,7272535,2701248.5,4456838.5,181489,40545,1424334,1335166
PAPUA,138.6874214,-4.65920601,1588351,2765650,806822.5,1274113.5,179811,114120,1140296,1149880
PAPUA BARAT,132.9674104,-2.037397532,762438,1739299,413747.5,616157,81251,51992,1089147,820351
RIAU,101.8083075,0.509823,11147053,18505875,5824495.5,9775644.5,686977,318261,1202651,1209784
SULAWESI BARAT,119.3441375,-2.461449041,3510961,2374880,966700.5,3872731,108713,35121,27156,27835
SULAWESI SELATAN,120.1615685,-3.730741165,25426960,24416073,9721569.5,27013086,947863,436524,5038460,2832918
SULAWESI TENGAH,121.2021618,-1.00387145,6289067,4875192,1799266.5,6371042,295028,125040,574826,563832
SULAWESI TENGGARA,122.0711683,-4.125627862,11069947,5575499,2282083.5,11926496.5,257526,109558,628198,626592
SULAWESI UTARA,124.5219921,1.26130891,5398846,3144536,3106882,4910350.5,306738,68179,749537,729507
SUMATERA BARAT,100.4667004,-0.85159709,14692245,18801652,8748367,13515754,735985,435699,1044639,1058022
SUMATERA SELATAN,104.1703736,-3.217322205,10994493,15066778,6328715.5,9743428.5,719831,225364,1400271,1407875
SUMATERA UTARA,99.05359488,2.190383617,27613125,47921230,15902275.5,25408790.5,1190467,685738,3096470,2911192
